id_waktu,id_lokasi,id_unit_peternakan,date,jumlah_produksi
8418,44156,,2022-04-01,10.2
8419,44156,,2022-04-02,10.35
8420,44156,,2022-04-03,10.7
8421,44156,,2022-04-04,11.9
8422,44156,,2022-04-05,12.0
8423,44156,,2022-04-06,10.8
8424,44156,,2022-04-07,10.55
8425,44156,,2022-04-08,10.0
8426,44156,,2022-04-09,9.7
8427,44156,,2022-04-10,9.75
8428,44156,,2022-04-11,9.5
8429,44156,,2022-04-12,9.4
8430,44156,,2022-04-13,13.1
8431,44156,,2022-04-14,14.3
8432,44156,,2022-04-15,13.7
8433,44156,,2022-04-16,12.8
8434,44156,,2022-04-17,12.4
8435,44156,,2022-04-18,12.2
8436,44156,,2022-04-19,12.3
8437,44156,,2022-04-20,11.25
8438,44156,,2022-04-21,10.9
8439,44156,,2022-04-22,10.3
8440,44156,,2022-04-23,9.25
8441,44156,,2022-04-24,9.0
8442,44156,,2022-04-25,10.35
8443,44156,,2022-04-26,11.05
8444,44156,,2022-04-27,11.25
8445,44156,,2022-04-28,11.3
8446,44156,,2022-04-29,10.75
8447,44156,,2022-04-30,11.35
8449,44156,,2022-05-01,11.7
8450,44156,,2022-05-02,10.65
8451,44156,,2022-05-03,11.45
8452,44156,,2022-05-04,11.2
8453,44156,,2022-05-05,12.4
8454,44156,,2022-05-06,12.5
8455,44156,,2022-05-07,12.7
8456,44156,,2022-05-08,13.35
8457,44156,,2022-05-09,13.65
8458,44156,,2022-05-10,13.85
8459,44156,,2022-05-11,16.6
8460,44156,,2022-05-12,15.35
8461,44156,,2022-05-13,14.15
8462,44156,,2022-05-14,12.9
8463,44156,,2022-05-15,12.9
8464,44156,,2022-05-16,12.15
8465,44156,,2022-05-17,13.2
8466,44156,,2022-05-18,14.15
8467,44156,,2022-05-19,13.1
8468,44156,,2022-05-20,13.7
8469,44156,,2022-05-21,12.6
8470,44156,,2022-05-22,13.0
8471,44156,,2022-05-23,13.0
8472,44156,,2022-05-24,11.75
8473,44156,,2022-05-25,14.55
8474,44156,,2022-05-26,14.1
8475,44156,,2022-05-27,13.05
8476,44156,,2022-05-28,14.05
8477,44156,,2022-05-29,13.9
8478,44156,,2022-05-30,14.2
8479,44156,,2022-05-31,13.55
8481,44156,,2022-06-01,15.9
8482,44156,,2022-06-02,15.5
8483,44156,,2022-06-03,14.55
8484,44156,,2022-06-04,12.6
8485,44156,,2022-06-05,12.6
8486,44156,,2022-06-06,12.3
8487,44156,,2022-06-07,11.65
8488,44156,,2022-06-08,12.7
8489,44156,,2022-06-09,11.75
8490,44156,,2022-06-10,11.8
8491,44156,,2022-06-11,11.7
8492,44156,,2022-06-12,11.45
8493,44156,,2022-06-13,9.65
8494,44156,,2022-06-14,8.75
8495,44156,,2022-06-15,11.5
8496,44156,,2022-06-16,11.2
8497,44156,,2022-06-17,11.25
8498,44156,,2022-06-18,11.2
8499,44156,,2022-06-19,10.05
8500,44156,,2022-06-20,9.9
8501,44156,,2022-06-21,10.0
8502,44156,,2022-06-22,10.5
8503,44156,,2022-06-23,10.45
8504,44156,,2022-06-24,10.35
8505,44156,,2022-06-25,10.0
8506,44156,,2022-06-26,9.95
8507,44156,,2022-06-27,10.15
8508,44156,,2022-06-28,10.7
8509,44156,,2022-06-29,10.65
8510,44156,,2022-06-30,10.75
8512,44156,,2022-07-01,9.7
8513,44156,,2022-07-02,9.65
8514,44156,,2022-07-03,9.75
8515,44156,,2022-07-04,10.0
8516,44156,,2022-07-05,9.3
8517,44156,,2022-07-06,9.25
8518,44156,,2022-07-07,9.25
8519,44156,,2022-07-08,8.1
8520,44156,,2022-07-09,8.3
8521,44156,,2022-07-10,8.6
8522,44156,,2022-07-11,8.95
8523,44156,,2022-07-12,9.6
8524,44156,,2022-07-13,9.3
8525,44156,,2022-07-14,9.6
8526,44156,,2022-07-15,12.5
8527,44156,,2022-07-16,12.65
8528,44156,,2022-07-17,12.9
8529,44156,,2022-07-18,13.45
8530,44156,,2022-07-19,13.9
8531,44156,,2022-07-20,13.7
8532,44156,,2022-07-21,13.9
8533,44156,,2022-07-22,14.0
8534,44156,,2022-07-23,14.05
8535,44156,,2022-07-24,14.0
8536,44156,,2022-07-25,14.0
8537,44156,,2022-07-26,12.9
8538,44156,,2022-07-27,12.55
8539,44156,,2022-07-28,12.0
8540,44156,,2022-07-29,11.5
8541,44156,,2022-07-30,5.5
8542,44156,,2022-07-31,5.8
8544,44156,,2022-08-01,12.25
8545,44156,,2022-08-02,12.75
8546,44156,,2022-08-03,12.75
8547,44156,,2022-08-04,12.75
8548,44156,,2022-08-05,11.35
8549,44156,,2022-08-06,13.1
8550,44156,,2022-08-07,11.3
8551,44156,,2022-08-08,13.35
8552,44156,,2022-08-09,14.3
8553,44156,,2022-08-10,14.2
8554,44156,,2022-08-11,13.9
8555,44156,,2022-08-12,13.9
8556,44156,,2022-08-13,13.35
8557,44156,,2022-08-14,13.9
8558,44156,,2022-08-15,13.6
8559,44156,,2022-08-16,12.5
8560,44156,,2022-08-17,12.75
8561,44156,,2022-08-18,12.35
